INF [20200727-01:19:44.058] graph-client: buildRoute($covid19@claimspace.org/~, degrees=1): 31.milliseconds
INF [20200727-01:19:44.108] graph-client: get($covid19@claimspace.org, degrees=1): 46.milliseconds
INF [20200727-01:19:46.327] graph-client: get($covid19@claimspace.org, degrees=1): 40.milliseconds
INF [20200727-01:19:47.293] graph-client: build($covid19@claimspace.org, degrees=3): 1.seconds+88.milliseconds
INF [20200727-01:20:00.538] graph-client: get($covid19.Disease@claimspace.org, degrees=1): 77.milliseconds
INF [20200727-01:20:00.655] graph-client: node($covid19@claimspace.org, degrees=1): 108.milliseconds
INF [20200727-01:20:00.724] graph-client: build($covid19.Disease@claimspace.org, degrees=3): 262.milliseconds
INF [20200727-01:20:03.784] graph-client: build($covid19.Disease.Immunity@claimspace.org, degrees=3): 29.milliseconds
INF [20200727-01:20:03.796] graph-client: get($covid19.Disease.Immunity@claimspace.org, degrees=1): 6.milliseconds
INF [20200727-01:20:03.853] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 55.milliseconds
INF [20200727-01:20:03.970] graph-client: node($covid19@claimspace.org, degrees=1): 109.milliseconds
INF [20200727-01:20:06.718] graph-client: get($covid19.Disease.Immunity.Antibodies@claimspace.org, degrees=1): 5.milliseconds
INF [20200727-01:20:06.729] graph-client: node($covid19.Disease.Immunity@claimspace.org, degrees=1): 8.milliseconds
INF [20200727-01:20:06.849] graph-client: build($covid19.Disease.Immunity.Antibodies@claimspace.org, degrees=3): 117.milliseconds
INF [20200727-01:20:06.862] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 132.milliseconds
INF [20200727-01:20:06.928] graph-client: node($covid19@claimspace.org, degrees=1): 64.milliseconds
INF [20200727-01:20:55.256] graph-client: get($covid19.Virus@claimspace.org, degrees=1): 13.milliseconds
INF [20200727-01:20:55.357] graph-client: node($covid19@claimspace.org, degrees=1): 97.milliseconds
INF [20200727-01:20:55.388] graph-client: build($covid19.Virus@claimspace.org, degrees=3): 144.milliseconds
INF [20200727-01:21:06.685] graph-client: get($covid19.Disease.ImmuneResponse@claimspace.org, degrees=1): 70.milliseconds
INF [20200727-01:21:06.686] graph-client: build($covid19.Disease.ImmuneResponse@claimspace.org, degrees=3): 62.milliseconds
INF [20200727-01:21:06.935] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 249.milliseconds
INF [20200727-01:21:07.027] graph-client: node($covid19@claimspace.org, degrees=1): 89.milliseconds
INF [20200727-01:22:45.368] graph-client: get($covid19.Disease.Complications@claimspace.org, degrees=1): 10.milliseconds
INF [20200727-01:22:45.382] graph-client: build($covid19.Disease.Complications@claimspace.org, degrees=3): 30.milliseconds
INF [20200727-01:22:45.446] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 76.milliseconds
INF [20200727-01:22:45.599] graph-client: node($covid19@claimspace.org, degrees=1): 149.milliseconds
INF [20200727-01:22:56.307] graph-client: get($covid19.Disease.VariantPopulations@claimspace.org, degrees=1): 92.milliseconds
INF [20200727-01:22:56.454] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 144.milliseconds
INF [20200727-01:22:56.536] graph-client: build($covid19.Disease.VariantPopulations@claimspace.org, degrees=3): 327.milliseconds
INF [20200727-01:22:56.681] graph-client: node($covid19@claimspace.org, degrees=1): 225.milliseconds
INF [20200727-01:23:05.737] graph-client: get($covid19.Disease@claimspace.org, degrees=1): 65.milliseconds
INF [20200727-01:23:05.843] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 96.milliseconds
INF [20200727-01:23:05.974] graph-client: node($covid19@claimspace.org, degrees=1): 129.milliseconds
INF [20200727-01:23:08.955] graph-client: get($covid19.Disease.IncubationPeriod@claimspace.org, degrees=1): 10.milliseconds
INF [20200727-01:23:08.963] graph-client: node($covid19.Disease.IncubationPeriod@claimspace.org, degrees=1): 7.milliseconds
INF [20200727-01:23:09.005] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 41.milliseconds
INF [20200727-01:23:09.064] graph-client: node($covid19@claimspace.org, degrees=1): 58.milliseconds
INF [20200727-01:23:13.164] graph-client: get($covid19.Disease.Complications@claimspace.org, degrees=1): 12.milliseconds
INF [20200727-01:23:13.176] graph-client: node($covid19.Disease.Complications@claimspace.org, degrees=1): 10.milliseconds
INF [20200727-01:23:13.261] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 84.milliseconds
INF [20200727-01:23:13.345] graph-client: node($covid19@claimspace.org, degrees=1): 83.milliseconds
INF [20200727-01:23:16.552] graph-client: get($covid19.Disease.Complications.Pneumonia@claimspace.org, degrees=1): 3.milliseconds
INF [20200727-01:23:16.559] graph-client: node($covid19.Disease.Complications.Pneumonia@claimspace.org, degrees=1): 5.milliseconds
INF [20200727-01:23:16.569] graph-client: node($covid19.Disease.Complications@claimspace.org, degrees=1): 9.milliseconds
INF [20200727-01:23:16.611] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 40.milliseconds
INF [20200727-01:23:16.667] graph-client: node($covid19@claimspace.org, degrees=1): 56.milliseconds
INF [20200727-01:23:20.113] graph-client: get($covid19.Disease.Complications.CytokineStorms@claimspace.org, degrees=1): 5.milliseconds
INF [20200727-01:23:20.118] graph-client: node($covid19.Disease.Complications.CytokineStorms@claimspace.org, degrees=1): 3.milliseconds
INF [20200727-01:23:20.124] graph-client: node($covid19.Disease.Complications@claimspace.org, degrees=1): 5.milliseconds
INF [20200727-01:23:20.157] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 31.milliseconds
INF [20200727-01:23:20.193] graph-client: node($covid19@claimspace.org, degrees=1): 35.milliseconds
INF [20200727-01:23:22.646] graph-client: get($covid19.Disease.Complications.CardiacDysfunction@claimspace.org, degrees=1): 1.milliseconds
INF [20200727-01:23:22.648] graph-client: node($covid19.Disease.Complications.CardiacDysfunction@claimspace.org, degrees=1): 1.milliseconds
INF [20200727-01:23:22.655] graph-client: node($covid19.Disease.Complications@claimspace.org, degrees=1): 6.milliseconds
INF [20200727-01:23:22.686] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 30.milliseconds
INF [20200727-01:23:22.719] graph-client: node($covid19@claimspace.org, degrees=1): 31.milliseconds
INF [20200727-01:23:24.737] graph-client: get($covid19.Disease.Complications@claimspace.org, degrees=1): 5.milliseconds
INF [20200727-01:23:24.744] graph-client: node($covid19.Disease.Complications@claimspace.org, degrees=1): 6.milliseconds
INF [20200727-01:23:24.771] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 25.milliseconds
INF [20200727-01:23:24.805] graph-client: node($covid19@claimspace.org, degrees=1): 33.milliseconds
INF [20200727-01:23:26.000] graph-client: get($covid19.Disease.VariantPopulations@claimspace.org, degrees=1): 30.milliseconds
INF [20200727-01:23:26.057] graph-client: node($covid19.Disease.VariantPopulations@claimspace.org, degrees=1): 55.milliseconds
INF [20200727-01:23:26.123] graph-client: node($covid19.Disease@claimspace.org, degrees=1): 64.milliseconds
INF [20200727-01:23:26.177] graph-client: node($covid19@claimspace.org, degrees=1): 52.milliseconds
INF [20200727-01:23:30.779] graph-client: get($covid19.Disease.VariantPopulations.CoMorbidConditions@claimspace.org, degrees=1): 12.milliseconds
INF [20200727-01:23:30.788] graph-client: node($covid19.Disease.VariantPopulations.CoMorbidConditions@claimspace.org, degrees=1): 8.milliseconds
